year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,1,ALABAMA,All,All,undefined,10892
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,2,ALASKA,All,All,undefined,23017
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,4,ARIZONA,All,All,undefined,14488
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,5,ARKANSAS,All,All,undefined,11700
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,6,CALIFORNIA,All,All,undefined,17430
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,8,COLORADO,All,All,undefined,13561
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,9,CONNECTICUT,All,All,undefined,14988
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,10,DELAWARE,All,All,undefined,13837
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,11,DISTRICT OF COLUMBIA,All,All,undefined,16455
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,12,FLORIDA,All,All,undefined,11573
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,13,GEORGIA,All,All,undefined,12385
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,15,HAWAII,All,All,undefined,13670
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,16,IDAHO,All,All,undefined,13136
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,17,ILLINOIS,All,All,undefined,12797
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,18,INDIANA,All,All,undefined,12137
