year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,1,ALABAMA,All,All,undefined,9031
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,2,ALASKA,All,All,undefined,18290
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,4,ARIZONA,All,All,undefined,12528
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,5,ARKANSAS,All,All,undefined,9542
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,6,CALIFORNIA,All,All,undefined,15514
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,8,COLORADO,All,All,undefined,12377
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,9,CONNECTICUT,All,All,undefined,13166
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,10,DELAWARE,All,All,undefined,11980
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,11,DISTRICT OF COLUMBIA,All,All,undefined,14628
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,12,FLORIDA,All,All,undefined,10071
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,13,GEORGIA,All,All,undefined,10604
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,15,HAWAII,All,All,undefined,15964
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,16,IDAHO,All,All,undefined,11424
2018,State/Territory,Medicare Reimbursement,Unsmoothed actual,Base measure,Primary chronic conditions,Medicare Reimbursement,All,All,Dual & non-dual,17,ILLINOIS,All,All,undefined,10885
